bp_id;age;experience;devision;position;ans_1;ans_2;ans_3_1;yesno_3_1;com_ruk;ans_3_2;yesno_3_2;com_inst;ans_4;ans_5;ans_6;ans_7;ans_8;ans_9;ans_10;ans_11;ans_12_1;ans_12_2;ans_13;ans_14;ans_15;ans_16;ans_17;ans_18;ans_19;ans_20;ans_21;ans_22;ans_23;ans_24;ans_25;ans_26;ans_27;ans_28;ans_29;ans_30_1;ans_30_2;ans_31;ans_32;ans_33;ans_34;ans_35;ans_36;ans_37;ans_38;ans_39;ans_40;ans_41;ans_42;ans_43;ans_44;ans_45;com_nal;ans_46;ans_47;complain
4735264;35;5;5;СБ;5;3;5;1;- Хочется чтобы заместители начальников реже игнорировала письма от бортпроводников и отвечали, хоть что-нибудь, - хочется чтобы руководство учитывало пожелания и компетенции бортпроводников при переобучении, планировании на рейсы ;2;1;Костина бывает игнорирует как непосредственные вопросы в чате, так и телефонные и приходится обращаться за помощью к другим инструкторам ;5;3;2;2;2;5;3;5;3;1;5;5;3;2;2;5;2;2;6;2;5;2;2;3;3;2;3;4;6;5;4;3;4;2;5;0;0;0;0;1;1;0;0;0;0;0;1;- Я считаю, инструктор Полюдова Н. Г. не подобающим образом общается с подчиненными: кричит на бортпроводников при пассажирах, устраивает козни на борту, абсолютно не проявляет такт и культуру общения, оценивает бортпроводников, не по профессиональным качествам, а по личным предпочтениям и по уровню тестостерона. Не готова помогать бортпроводникам и не дает помогать другим бортпроводникам, если проявят инициативу, котого-то выручить. Некоторые проводники ( и таких не мало) просто снимаются с рейсов и берут больняки, когда видят ее в плане, так как она просто орет и не умеет общаться. Прош провести с ней воспитательную работу.- Предлагаю отменить лист старшего в классе эконом, так как его заполнение абсолютно бессмысленно на маленьких и средних самолетах. Его можно оставить только на 747 и 777.- Были случае когда на старте сидят бригады на Москву вчетвером (лететь 1 час, с водой, загрузка 50 пассажиров) и рядом на Барселону втроем (с горячим питанием, загрузка 8 / 120), в таких ситуациях было бы разумно позволять перекинуть одного человека с Москвы на Барселону. 
2917789;38;5;1;СБ;3;5;5;0;0;5;0;0;2;5;2;5;5;5;1;5;6;6;6;4;4;5;4;4;3;2;1;1;5;2;5;2;4;4;2;2;2;5;3;4;3;4;4;0;1;0;1;0;0;1;0;0;0;0;1;Повысить зарплату, сделать более прозрачный и понятный расчётный лист (пересмотреть положение об оплате труда БП).
2660750;42;6;3;ИПБ;2;2;4;0;0;4;0;0;2;2;2;4;3;3;2;2;2;3;4;2;2;4;3;2;5;5;5;2;5;2;4;2;3;4;5;3;3;5;2;2;4;3;3;1;1;0;1;0;0;0;0;0;0;1;0;0
448518;20;0;4;Бп;2;3;5;0;0;5;0;0;5;5;4;5;5;5;3;5;5;5;5;5;5;2;5;6;1;5;2;2;3;5;5;5;5;2;2;1;2;2;4;3;2;5;5;0;0;0;0;1;1;1;0;1;0;0;0;0 
4319433;33;5;4;Бп;2;6;5;0;0;4;0;0;1;4;2;4;5;4;1;5;5;5;5;5;5;5;5;5;3;2;2;2;3;5;5;4;5;3;2;1;2;2;4;5;1;5;5;0;1;0;0;0;1;1;0;0;0;1;0;0 
3986684;33;5;3;БП;1;6;4;1;0;4;0;0;1;1;5;5;5;5;2;4;6;4;5;3;2;5;4;5;4;3;4;2;4;4;5;5;5;4;2;2;2;2;5;5;2;5;5;0;0;1;0;1;0;1;0;1;1;0;0;0
1410356;39;6;3;БП;2;6;6;0;0;4;0;0;1;1;5;5;5;5;2;4;6;4;3;2;3;1;5;5;5;2;4;2;6;2;5;3;5;4;3;2;1;2;4;4;4;5;5;0;1;0;0;1;0;1;0;1;1;0;1;Нет длительных рейсов и командировок
3007985;37;17;4;БП;2;5;6;1;Хотелось бы, чтоб у всех была идеология, как у начальника отделения ;4;1;Готов прийти на помощь, но решения к возникающим вопросам не было найдено ни одного. ;2;2;5;4;4;5;1;5;6;5;5;4;2;5;4;5;4;2;1;2;2;5;6;5;5;6;1;1;1;2;5;6;1;6;5;0;0;0;0;0;1;1;0;0;1;1;0;0
57618;33;13;4;СБ;2;2;3;0;0;6;0;0;2;2;5;4;5;5;1;5;6;5;5;4;2;5;4;5;4;2;1;2;4;5;5;4;4;6;1;4;3;5;2;1;4;5;5;0;0;0;0;1;1;1;0;0;0;0;0;0 
4165380;35;4;4;BS;2;2;5;0;0;6;0;0;3;4;3;5;4;4;1;1;1;6;1;1;1;5;3;4;6;2;1;2;4;5;5;4;4;3;2;1;3;2;5;6;3;4;5;0;1;0;0;0;0;1;0;0;0;0;0;0 
